year,individual,corporate,social,property,consumption,other,total2
2008,0.988658152,1.176713117,1.050114382,1.009667784,1.041489702,1.216126327,1.038766328
2009,0.829771914,0.8478013,0.999894635,0.983614785,0.942958027,1.077909127,0.924148812
2010,0.837879337,1.009120893,1.004252363,0.979663935,0.993244948,1.014851147,0.950765012
2011,0.920327196,1.087378805,1.03206048,1.004984193,1.055717651,1.115604722,1.008064531
2012,0.906998671,1.103922003,0.989394598,0.981044137,1.009697984,1.049349114,0.97887384
2013,0.951863454,1.122323722,1.018380006,0.997088287,1.02358782,1.086960287,1.007143253
2014,0.973379802,1.123535724,1.019374761,1.014434629,1.043911587,1.06728162,1.019972651
2015,0.948902449,1.024502671,0.942177639,0.975563117,0.964005117,0.905325837,0.957844223
2016,0.94556612,1.037413186,0.962151618,0.995956182,0.968591126,0.873401368,0.965763579
2017,0.97374402,1.011731654,0.981815079,1.20620641,0.988575711,0.940287426,1.001401955
2018,1.000296114,1.042889383,1.015493488,1.023322717,1.024678628,0.956308257,1.014929901
2019,1,1,1,1,1,1,1
2020,0.976324138,0.871528652,0.848039733,1.004726722,0.942077682,0.953117678,0.925724278
,2.37%,12.85%,15.20%,-0.47%,5.79%,4.69%,7.43%
